save to:--->  ./data/res_0924/all\beta0.005_gamma0.1_meaboth_Qx0.001_Qp0.0001_Px_0.0025_Pp0.002_Rx0.005_N50_L20
beta estimate=0.9990063608040957, gamma estimate=0.009842365673879416
beta estimate=0.9990113461935393, gamma estimate=0.009882675929473617
beta estimate=0.9990055706645238, gamma estimate=0.009850221341885623
beta estimate=0.9990028968769669, gamma estimate=0.009850515385303016
beta estimate=0.9989984876045674, gamma estimate=0.009833179545041981
beta estimate=0.9989935209541883, gamma estimate=0.009901344081374719
beta estimate=0.9989979608766403, gamma estimate=0.009995446010694908
beta estimate=0.9990090026434086, gamma estimate=0.010055100925871474
beta estimate=0.999017453754371, gamma estimate=0.009999786625440543
beta estimate=0.9990165406681493, gamma estimate=0.010098969108277345
beta estimate=0.999007819441824, gamma estimate=0.010064581435749342
beta estimate=0.9990007588290385, gamma estimate=0.010121598317750058
beta estimate=0.9989842423252728, gamma estimate=0.010103696896925363
beta estimate=0.9990039351272985, gamma estimate=0.01000703903220801
beta estimate=0.9990019567041999, gamma estimate=0.009954213370464982
beta estimate=0.9990125859048382, gamma estimate=0.009931951454699384
beta estimate=0.9990222327642291, gamma estimate=0.009991207769085575
beta estimate=0.9990223966743583, gamma estimate=0.009977406562941937
beta estimate=0.9990218654588996, gamma estimate=0.009906814700455846
beta estimate=0.9990231371378291, gamma estimate=0.009863655210304578
beta estimate=0.99903656072058, gamma estimate=0.009772178981820812
beta estimate=0.9990358697407586, gamma estimate=0.009676396292341627
beta estimate=0.9990561651094026, gamma estimate=0.009749060873566584
beta estimate=0.9990620283725107, gamma estimate=0.009721223519273958
beta estimate=0.9990562615052967, gamma estimate=0.009795741046352169
beta estimate=0.9990450555497887, gamma estimate=0.009845613085050386
beta estimate=0.9990398968780618, gamma estimate=0.009807436819501913
beta estimate=0.9990304794433948, gamma estimate=0.00972228657396007
beta estimate=0.999019348725375, gamma estimate=0.00964338837936396
beta estimate=0.9990259442648999, gamma estimate=0.009666418810424515
beta estimate=0.999022884838175, gamma estimate=0.00962844476045066
beta estimate=0.9990146887166937, gamma estimate=0.009507108555372568
beta estimate=0.9990188892594596, gamma estimate=0.009547721533610554
beta estimate=0.9990159047317568, gamma estimate=0.009537521940983618
beta estimate=0.999020099855501, gamma estimate=0.009440691084196262
beta estimate=0.9990162838994333, gamma estimate=0.009388287625749614
beta estimate=0.9990152091520288, gamma estimate=0.009332792250480004
beta estimate=0.9990264149801789, gamma estimate=0.009232137158340425
beta estimate=0.9990327650094478, gamma estimate=0.00923593483022278
beta estimate=0.9990285423251899, gamma estimate=0.009253386325579038
beta estimate=0.9990276036081159, gamma estimate=0.00927171980842656
beta estimate=0.9990306523254833, gamma estimate=0.009320795936514525
beta estimate=0.999025994017073, gamma estimate=0.009288138231249188
beta estimate=0.9990347862294143, gamma estimate=0.009341517953899647
beta estimate=0.999036518884311, gamma estimate=0.009380845706734087
beta estimate=0.9990467242304804, gamma estimate=0.00932840416647207
beta estimate=0.9990548368131766, gamma estimate=0.009291444364309565
beta estimate=0.9990509829713787, gamma estimate=0.009300809047193215
beta estimate=0.999059333880491, gamma estimate=0.00931385643017446
beta estimate=0.9990612051156011, gamma estimate=0.009306958317503222
beta estimate=0.9990565781837929, gamma estimate=0.0092743181693839
beta estimate=0.9990560154769803, gamma estimate=0.009333448156198465
beta estimate=0.9990524091202215, gamma estimate=0.00930316518976071
beta estimate=0.9990568213832647, gamma estimate=0.009262658915194621
beta estimate=0.9990540513851431, gamma estimate=0.009244908511878869
beta estimate=0.9990464939176904, gamma estimate=0.009240118476893988
beta estimate=0.9990442110301575, gamma estimate=0.009260644768659121
beta estimate=0.9990553729858035, gamma estimate=0.009238781245408112
beta estimate=0.9990564483495843, gamma estimate=0.009208457972737116
beta estimate=0.9990487659350272, gamma estimate=0.009137576876200204
beta estimate=0.9990487284110838, gamma estimate=0.009126129634944746
beta estimate=0.9990574561596135, gamma estimate=0.009150763865546585
beta estimate=0.9990497728784975, gamma estimate=0.009152618462575424
beta estimate=0.999043626028945, gamma estimate=0.00912366750319571
beta estimate=0.9990453842670837, gamma estimate=0.009079559088587263
beta estimate=0.999040939959206, gamma estimate=0.009089981063911678
beta estimate=0.9990330946004762, gamma estimate=0.009102204196726582
beta estimate=0.9990333875561039, gamma estimate=0.009032828705859086
beta estimate=0.9990298187081086, gamma estimate=0.009039104147643917
beta estimate=0.9990241606593151, gamma estimate=0.00904597167077742
beta estimate=0.9990271056265105, gamma estimate=0.0090384170674645
beta estimate=0.9990314007446228, gamma estimate=0.009041402980398128
beta estimate=0.999032672741313, gamma estimate=0.008987313460538882
beta estimate=0.999036761383072, gamma estimate=0.008985979202344951
